evaluation_date,vol_amount_26,total_balance,avg_amount_26,avg_amount_12,avg_week_amount_14,weighted_avg_day_26,avg_week_amount_20,vol_amount_13
738476,0.0,18.07,0.0,-240.53400000000002,-521.665,0.0,-79.595,-0.0
738728,0.0,1507.93,0.0,-44.47,-1589.2199999999998,0.0,-83.805,0.0
738571,0.0,37.61,0.0,62.36166666666665,-784.0,0.0,0.0,0.0
738495,0.0,5.19,0.0,-279.822,-1347.45,0.0,-209.01,0.0
738575,0.0,2278.92,0.0,-312.675,-168.825,0.0,-69.97500000000001,0.0
738492,0.0,-69.93,0.0,-146.88600000000002,-2917.8199999999997,0.0,-99.63,-0.34641016151377546
738498,-0.8077152628050362,7.3,-14.9,-40.995000000000005,-878.9100000000001,0.4338926174496667,-152.31,0.0
738586,0.0,65.76,0.0,-100.0,-2605.82,0.0,-126.45,0.0
738728,-0.28119800063087586,402.45,-74.0,-1298.915,-1658.1100000000001,9.617117117117118,-236.53999999999996,-0.8071489622450836
738546,0.0,156.17,0.0,-484.6466666666667,-1700.315,0.0,-321.41999999999996,0.0
738511,0.0,0.6,0.0,-40.833333333333336,-478.29999999999995,0.0,-16.11,-0.5395313993740282
738663,0.0,-198.1,0.0,0.0,-1189.87,0.0,-115.935,-0.1214913240927988
738706,-0.39191835884530846,42.26,-41.666666666666664,-33.04857142857143,-3249.66,3.879999999999999,-427.42,-0.0
738492,0.0,66.25,0.0,-387.35,-4490.3,0.0,-96.42,0.0
738525,0.0,631.61,0.0,700.0,-334.515,0.0,-113.1,-0.07753006796693206
738581,-0.43897258806861594,444.15,-225.64166666666668,-322.4116666666667,-3586.16,7.568722532038258,-691.49,-0.2394013145585932
738620,0.0,262.57,0.0,-42.49,-300.865,0.0,0.0,0.0
738455,0.0,16.07,0.0,0.0,-381.75,0.0,-190.2,-0.0
738471,0.0,-21.83,0.0,-239.54500000000002,-425.995,0.0,-107.715,0.0
738702,-0.729607523000389,77.72,-233.51,-247.26166666666668,-2299.105,0.3337829928768219,-1196.935,-0.0
738562,0.0,7.95,0.0,-450.86800000000005,-976.84,0.0,-781.48,0.0
738609,-0.9310549368015343,15.48,-406.7133333333333,-509.1666666666667,-2317.28,0.15978494271149124,-3444.19,-0.39382087588527503
738514,-0.0,590.75,-25.0,-5.989999999999999,-50.099999999999994,5.5,-164.26999999999998,0.0
738608,-0.0,0.19,-25.0,-207.33,-984.1949999999999,7.5,-216.55,0.0
738639,-0.8702852691526739,1449.54,-130.0,205.0716666666667,-8082.42,5.51923076923077,-410.13,0.0
738553,0.0,612.29,0.0,-79.0,-245.46,0.0,0.0,-0.00011834093015869701
738505,0.0,213.68,0.0,-34.32,-2161.285,0.0,-38.849999999999994,0.0
738508,0.0,4.34,0.0,-463.7,-1811.3600000000001,0.0,-149.75,0.0
738513,0.0,326.2,0.0,-1327.9166666666667,-5298.53,0.0,-420.82,0.0
738503,-0.19526418948433727,0.04,-181.66666666666666,-12.0,-3616.79,7.206422018348626,-174.7,-0.5600798300746757
738705,-0.9324570385169147,9.66,-121.0,-1328.22,-3743.02,0.7561983471074392,-689.64,-0.1191687183448436
738605,0.0,-9.17,0.0,-44.449999999999996,-2440.325,0.0,-562.47,0.0
738469,-0.658982261549428,74.5,-250.39499999999998,-141.7425,-1104.925,1.0435545171961635,-178.08,-0.6484886829965852
738519,0.0,791.05,0.0,-515.6166666666667,-2805.91,0.0,-1049.3,0.0
738470,-0.0,46.28,-50.0,-1048.0,-8235.43,10.0,-411.01,-0.019997954455533196
738718,-1.3198663907801342,179.06,-265.59000000000003,66.614,-7261.8550000000005,5.2513837117361355,-78.44999999999999,0.0
